id,y
1,4
2,4
3,1
4,5
5,9
6,6
7,2
8,8
9,1
10,1
11,1
12,8
13,1
14,1
15,7
16,1
17,6
18,8
19,2
20,2
21,5
22,4
23,7
24,6
25,9
26,6
27,7
28,2
29,1
30,8
31,4
32,1
33,8
34,6
35,1
36,6
37,9
38,4
39,5
40,1
41,1
42,3
43,5
44,8
45,4
46,1
47,6
48,7
49,1
50,1
51,1
52,1
53,1
54,9
55,6
56,1
57,1
58,8
59,1
60,5
61,4
62,6
63,7
64,1
65,1
66,6
67,1
68,5
69,4
70,2
71,1
72,1
73,1
74,7
75,6
76,4
77,1
78,8
79,8
80,8
81,5
82,3
83,8
84,3
85,8
86,1
87,3
88,8
89,4
90,1
91,5
92,3
93,1
94,8
95,8
96,4
97,5
98,9
99,9
100,9
101,6
102,9
103,8
104,8
105,3
106,1
107,7
108,1
109,1
110,7
111,1
112,1
113,6
114,4
115,7
116,5
117,4
118,6
119,7
120,1
121,2
122,6
123,5
124,2
125,7
126,1
127,9
128,1
129,1
130,1
131,6
132,4
133,4
134,8
135,8
136,7
137,8
138,5
139,1
140,6
141,8
142,2
143,8
144,8
145,8
146,1
147,8
148,9
149,8
150,1
151,8
152,1
153,1
154,3
155,8
156,7
157,4
158,6
159,1
160,8
161,4
162,8
163,8
164,9
165,7
166,1
167,4
168,4
169,6
170,8
171,1
172,7
173,7
174,1
175,8
176,5
177,5
178,1
179,4
180,1
181,9
182,9
183,6
184,4
185,1
186,9
187,1
188,6
189,9
190,5
191,8
192,6
193,6
194,1
195,7
196,1
197,1
198,8
199,9
200,9
201,7
202,7
203,1
204,8
205,8
206,4
207,4
208,1
209,6
210,8
211,1
212,6
213,8
214,5
215,8
216,5
217,7
218,1
219,8
220,4
221,4
222,4
223,3
224,1
225,8
226,3
227,2
228,1
229,8
230,5
231,2
232,1
233,6
234,6
235,1
236,8
237,7
238,1
239,1
240,8
241,9
242,8
243,7
244,8
245,8
246,5
247,8
248,1
249,2
250,1
251,5
252,8
253,1
254,6
255,4
256,1
257,4
258,1
259,1
260,1
261,1
262,4
263,3
264,4
265,6
266,8
267,6
268,7
269,8
270,2
271,6
272,4
273,6
274,4
275,9
276,7
277,9
278,8
279,4
280,3
281,1
282,1
283,1
284,8
285,5
286,8
287,6
288,1
289,9
290,7
291,5
292,1
293,8
294,5
295,1
296,5
297,3
298,3
299,4
300,1
301,9
302,6
303,1
304,4
305,8
306,7
307,1
308,9
309,7
310,7
311,2
312,9
313,1
314,6
315,9
316,8
317,1
318,8
319,9
320,9
321,1
322,4
323,1
324,8
325,8
326,3
327,1
328,2
329,1
330,6
331,1
332,1
333,8
334,9
335,6
336,1
337,7
338,9
339,1
340,2
341,1
342,6
343,1
344,5
345,9
346,8
347,8
348,4
349,1
350,4
351,1
352,8
353,1
354,1
355,7
356,7
357,1
358,4
359,2
360,1
361,5
362,3
363,1
364,1
365,6
366,1
367,1
368,6
369,6
370,8
371,9
372,3
373,4
